geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037186201,6037186201,2013,1095.0,295.0,26.940639,510.0,46.575344,745.0,68.03653,845.0,77.168953,250.0,22.831051
1400000US06037108102,6037108102,2014,1230.0,80.0,6.504065,145.0,11.788618,320.0,26.01626,430.0,34.959351,800.0,65.040649
1400000US06037294520,6037294520,2013,935.0,295.0,31.550802,415.0,44.385025,585.0,62.566845,690.0,73.796791,245.0,26.203209
1400000US06037117407,6037117407,2017,949.0,510.0,53.74078,680.0,71.654373,865.0,91.148575,915.0,96.417282,34.0,3.5827186
1400000US06037228420,6037228420,2015,719.0,325.0,45.201668,540.0,75.104309,615.0,85.535469,645.0,89.707924,74.0,10.292072
1400000US06037540700,6037540700,2016,785.0,190.0,24.203821,390.0,49.68153,570.0,72.611465,635.0,80.891716,150.0,19.10828
1400000US06037402902,6037402902,2015,1455.0,355.0,24.398626,640.0,43.986256,1030.0,70.790375,1175.0,80.756012,280.0,19.243986
1400000US06037262601,6037262601,2015,1357.0,73.0,5.3795137,88.0,6.4848933,146.0,10.759027,170.0,12.527635,1187.0,87.472366
1400000US06037113427,6037113427,2018,350.0,41.0,11.714286,70.0,20.0,129.0,36.857143,187.0,53.42857,164.0,46.857143
1400000US06037109700,6037109700,2018,1344.0,135.0,10.044642,219.0,16.294643,324.0,24.107143,474.0,35.267857,870.0,64.73214
1400000US06037137501,6037137501,2018,1905.0,185.0,9.7112865,335.0,17.585302,670.0,35.170605,830.0,43.569553,1075.0,56.430447
1400000US06037800202,6037800202,2019,2043.0,205.0,10.034264,285.0,13.950073,555.0,27.165932,680.0,33.284386,1364.0,66.764565
1400000US06037800338,6037800338,2016,2294.0,46.0,2.0052311,143.0,6.2336531,401.0,17.480383,636.0,27.724499,1658.0,72.275505
1400000US06037602104,6037602104,2016,1773.0,449.0,25.324308,802.0,45.234066,1250.0,70.501976,1434.0,80.879868,338.0,19.063734
1400000US06037432401,6037432401,2014,1015.0,284.0,27.980295,433.0,42.660099,758.0,74.679802,825.0,81.280785,190.0,18.719212
1400000US06037232401,6037232401,2019,996.0,317.0,31.827309,522.0,52.409637,704.0,70.682732,819.0,82.228912,177.0,17.771084
1400000US06037702502,6037702502,2017,1985.0,225.0,11.335012,345.0,17.380352,530.0,26.700253,720.0,36.272041,1265.0,63.727959
